EXPEDIENTE;TIPO;ACTIVIDAD;REGIÓN;PROVINCIA;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
308156;ANÓNIMA;G4630.33;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;3;1600;1600;0;0
311856;RESPONSABILIDAD LIMITADA;G4659.22;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;1;1550;1000;0;0
177035;ANÓNIMA;G4663.13;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1500;800;500;0
179259;ANÓNIMA;G4649.96;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1396,3;500;0;0
704688;ANÓNIMA;G4741.13;GALAPAGOS;GALAPAGOS;MICROEMPRESA;SOCIETARIO;7;1306,31;1306,31;0;0
122543;ANÓNIMA;G4649.23;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;1302,23;0;0;0
182848;ANÓNIMA;G4630.12;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;14;1258;1258;10;0
301543;ANÓNIMA;G4711.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1228,72;777,22;930;-1,32
700663;ANÓNIMA;G4690.00;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1215,59;1215,59;0;0
45118;ANÓNIMA;G4510.01;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;1211,87;911,87;0;0
164190;ANÓNIMA;G4663.21;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;2;1199,72;800;0;0
77988;ANÓNIMA;G4630.91;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1165,57;1165,57;0;0
29840;ANÓNIMA;G4663.13;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1140;1140;0;0
75452;ANÓNIMA;G4649.99;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;3;1100;1100;0;0
143540;ANÓNIMA;G4659.95;COSTA;SANTA ELENA;MICROEMPRESA;SOCIETARIO;4;1099,72;1099,72;0;0
309057;ANÓNIMA;G4669.30;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1030;1024;1099;24
38458;ANÓNIMA;G4530.00;COSTA;EL ORO;MICROEMPRESA;SOCIETARIO;0;1000;1000;0;0
47661;ANÓNIMA;G4641.21;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;3;1000;1000;0;0
